,precision,recall,f1-score,support
toxic,0.8033667621776505,0.7339659685863874,0.7670998632010944,3056.0
severe_toxic,0.4346793349168646,0.5700934579439252,0.49326145552560646,321.0
obscene,0.802491103202847,0.7889212827988338,0.7956483387239047,1715.0
threat,0.40540540540540543,0.40540540540540543,0.40540540540540543,74.0
insult,0.686524002313476,0.7354399008674102,0.7101405922823811,1614.0
identity_hate,0.4315352697095436,0.35374149659863946,0.38878504672897196,294.0
micro avg,0.7345527869796917,0.720949957591179,0.7276878076621246,7074.0
macro avg,0.5940003129542979,0.5979279187001002,0.593390116977894,7074.0
weighted avg,0.7401490306396171,0.720949957591179,0.7290925543907041,7074.0
samples avg,0.06059272024648807,0.06580082510836074,0.06052066286282173,7074.0
